,Star Index,RA (degrees),Dec (degrees),Distance (AU)
910,910,13h 49m 30.22s,"-41deg 41' 16.3""",3.0024e+07 au
911,911,13h 49m 36.94s,"-42deg 28' 25.9""",3.33223e+07 au
912,912,13h 49m 42.87s,"+21deg 15' 51.2""",2.32805e+07 au
913,913,13h 49m 52.11s,"-18deg 08' 03.9""",1.53015e+07 au
914,914,13h 51m 25.95s,"+64deg 43' 23.7""",2.47617e+07 au
915,915,13h 51m 47.43s,"+34deg 26' 38.5""",3.81972e+07 au
916,916,13h 51m 49.53s,"-32deg 59' 39.5""",1.88198e+07 au
917,917,13h 53m 12.51s,"-31deg 55' 39.7""",4.23542e+07 au
918,918,13h 54m 40.97s,"+18deg 23' 42.9""",2.3394e+06 au
919,919,13h 55m 32.25s,"-47deg 17' 19.3""",2.43237e+07 au
920,920,13h 57m 38.73s,"-63deg 41' 12.9""",1.32136e+07 au
921,921,13h 58m 16.21s,"-42deg 06' 03.2""",2.94244e+07 au
922,922,13h 58m 40.68s,"-44deg 48' 13.4""",2.64103e+07 au
923,923,14h 01m 38.82s,"+01deg 32' 39.8""",1.38062e+07 au
924,924,14h 01m 43.50s,"-45deg 36' 12.8""",2.83331e+07 au
925,925,14h 03m 49.29s,"-60deg 22' 23.6""",3.32149e+07 au
926,926,14h 04m 23.13s,"+64deg 22' 33.5""",1.95327e+07 au
927,927,14h 06m 02.71s,"-41deg 10' 47.2""",2.82168e+07 au
928,928,14h 06m 22.38s,"-26deg 41' 00.0""",6.41171e+06 au
929,929,14h 06m 39.88s,"-36deg 22' 24.7""",3.85398e+06 au
930,930,14h 08m 50.69s,"+77deg 32' 51.9""",3.16357e+07 au
931,931,14h 09m 54.42s,"-53deg 26' 22.4""",1.15039e+07 au
932,932,14h 10m 23.89s,"+25deg 05' 28.5""",7.5638e+06 au
933,933,14h 10m 50.49s,"-16deg 18' 07.6""",3.42633e+07 au
934,934,14h 12m 15.73s,"+02deg 24' 33.3""",1.65675e+07 au
935,935,14h 12m 53.76s,"-10deg 16' 21.8""",1.41374e+07 au
936,936,14h 13m 29.17s,"+51deg 47' 23.6""",9.80812e+06 au
937,937,14h 15m 37.76s,"+19deg 10' 07.2""",2.32149e+06 au
938,938,14h 16m 00.83s,"-06deg 00' 12.4""",4.41303e+06 au
939,939,14h 16m 09.53s,"+51deg 22' 04.2""",6.14982e+06 au
940,940,14h 16m 22.57s,"+46deg 05' 21.8""",6.14249e+06 au
941,941,14h 17m 59.83s,"+35deg 30' 34.6""",1.40988e+07 au
942,942,14h 18m 13.69s,"-81deg 00' 29.6""",8.82983e+06 au
943,943,14h 19m 06.56s,"-13deg 22' 15.2""",1.18068e+07 au
944,944,14h 19m 24.19s,"-46deg 03' 29.2""",2.22508e+07 au
945,945,14h 19m 44.99s,"+16deg 18' 26.5""",1.20482e+07 au
946,946,14h 20m 19.52s,"-56deg 23' 11.6""",7.50054e+07 au
947,947,14h 20m 33.30s,"-37deg 53' 07.3""",1.5638e+07 au
948,948,14h 20m 42.67s,"-45deg 11' 15.2""",9.39703e+06 au
949,949,14h 22m 36.92s,"-58deg 27' 32.4""",1.7843e+07 au
950,950,14h 23m 02.19s,"-39deg 30' 43.1""",2.64782e+07 au
951,951,14h 23m 05.40s,"-27deg 45' 17.4""",1.10479e+07 au
952,952,14h 23m 22.57s,"+08deg 26' 47.6""",1.35969e+07 au
953,953,14h 25m 11.17s,"+51deg 50' 52.8""",3.00546e+06 au
954,954,14h 26m 08.19s,"-45deg 13' 17.5""",6.54809e+07 au
955,955,14h 26m 10.84s,"-45deg 22' 45.6""",1.98714e+07 au
956,956,14h 26m 53.80s,"-83deg 40' 04.7""",1.76295e+07 au
957,957,14h 27m 31.60s,"+75deg 41' 46.1""",2.18039e+07 au
958,958,14h 28m 10.38s,"-29deg 29' 30.5""",2.62758e+07 au
959,959,14h 28m 11.91s,"-02deg 13' 40.7""",8.54099e+06 au
960,960,14h 31m 49.60s,"+30deg 22' 20.2""",9.40989e+06 au
961,961,14h 32m 04.43s,"+38deg 18' 33.5""",5.38691e+06 au
962,962,14h 32m 36.98s,"-50deg 27' 26.1""",3.63142e+07 au
963,963,14h 34m 41.18s,"+29deg 44' 45.8""",3.18999e+06 au
964,964,14h 35m 30.35s,"-42deg 09' 29.0""",1.95142e+07 au
965,965,14h 37m 53.16s,"-49deg 25' 33.7""",1.96256e+07 au
966,966,14h 39m 22.89s,"-60deg 49' 50.1""",2.7794e+05 au
967,967,14h 39m 24.04s,"-60deg 49' 50.3""",2.7794e+05 au
968,968,14h 40m 43.58s,"+16deg 25' 06.2""",2.00647e+07 au
969,969,14h 41m 09.04s,"+13deg 43' 41.6""",1.14148e+07 au
970,970,14h 41m 38.73s,"+08deg 09' 42.4""",3.64425e+07 au
971,971,14h 41m 55.70s,"-47deg 23' 18.1""",3.46664e+07 au
972,972,14h 41m 57.53s,"-37deg 47' 37.4""",1.92951e+07 au
973,973,14h 42m 29.67s,"-64deg 58' 36.3""",3.38305e+06 au
974,974,14h 43m 03.80s,"-05deg 39' 37.5""",3.85254e+06 au
975,975,14h 43m 25.34s,"+26deg 31' 39.8""",5.62029e+07 au
976,976,14h 43m 39.32s,"-35deg 10' 29.5""",1.29808e+07 au
977,977,14h 44m 59.22s,"-35deg 11' 30.6""",1.30879e+07 au
978,978,14h 44m 59.12s,"+27deg 04' 27.7""",1.32646e+07 au
979,979,14h 45m 14.36s,"+16deg 57' 50.2""",1.42448e+07 au
980,980,14h 46m 14.73s,"+01deg 53' 33.8""",8.13668e+06 au
981,981,14h 47m 51.66s,"-79deg 02' 41.5""",2.60107e+07 au
982,982,14h 50m 16.87s,"-27deg 57' 38.9""",1.93132e+07 au
983,983,14h 50m 42.13s,"+74deg 09' 20.1""",7.99786e+06 au
984,984,14h 50m 52.53s,"-16deg 02' 32.1""",4.88201e+06 au
985,985,14h 51m 01.22s,"-02deg 18' 00.0""",1.3669e+07 au
986,986,14h 51m 23.65s,"+19deg 05' 59.9""",1.38192e+06 au
987,987,14h 51m 38.25s,"-43deg 34' 32.0""",2.57831e+07 au
988,988,14h 57m 10.84s,"-04deg 20' 51.1""",5.75676e+06 au
989,989,14h 57m 34.69s,"+65deg 55' 57.7""",2.51542e+07 au
990,990,14h 58m 31.85s,"-43deg 08' 03.2""",3.31083e+07 au
991,991,14h 59m 09.65s,"-42deg 06' 15.6""",3.40934e+07 au
992,992,15h 00m 58.24s,"-08deg 31' 08.3""",1.92411e+07 au
993,993,15h 01m 56.68s,"+40deg 23' 25.3""",1.3834e+07 au
994,994,15h 02m 06.50s,"+25deg 00' 28.1""",2.27414e+07 au
995,995,15h 02m 53.94s,"+02deg 05' 29.0""",1.16009e+07 au
996,996,15h 03m 46.23s,"+47deg 39' 15.1""",2.63126e+06 au
997,997,15h 04m 04.08s,"-25deg 16' 56.2""",1.8466e+07 au
998,998,15h 04m 26.42s,"+26deg 56' 51.4""",1.58179e+07 au
999,999,15h 05m 07.03s,"-47deg 03' 05.0""",3.14428e+07 au
1000,1000,15h 07m 18.40s,"+24deg 52' 05.1""",4.06834e+06 au
1001,1001,15h 08m 50.57s,"-45deg 16' 48.1""",2.57188e+07 au
1002,1002,15h 11m 55.83s,"-48deg 44' 17.3""",1.15296e+07 au
1003,1003,15h 12m 13.23s,"-19deg 47' 31.0""",2.38181e+07 au
1004,1004,15h 12m 16.79s,"-52deg 05' 59.0""",7.35085e+06 au
1005,1005,15h 12m 49.54s,"-44deg 30' 02.0""",2.87277e+07 au
1006,1006,15h 14m 37.30s,"-31deg 31' 08.8""",7.21206e+07 au
1007,1007,15h 15m 30.33s,"+33deg 18' 50.7""",7.38242e+06 au
1008,1008,15h 17m 00.25s,"-09deg 22' 59.0""",1.01209e+07 au
1009,1009,15h 17m 30.54s,"-58deg 48' 07.7""",6.11155e+06 au
1010,1010,15h 17m 38.90s,"-63deg 36' 37.5""",2.36001e+07 au
