RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz
10.838427544059812,-57.46295331853858,4.36,0.024,1.8339629834325696e+18,-5.3247436042226406e+17,-2.3516478158738355e+18
10.866709890986527,47.024290635024265,4.95,0.17,1.736864417134296e+18,-5.504993644037921e+17,7.720259352246865e+17
10.899062878153684,-17.986379561895237,2.04,1.019,1.4794046881560847e+18,-5.994274304450636e+17,-7.145445732708572e+17
11.047456816968651,-10.610333719221485,4.77,0.998,2.548304764578361e+18,-3.884601362821485e+17,-8.002435757039022e+17
11.181507688575676,48.28431168280281,4.48,-0.069,6.22822950084735e+18,3.43605030551942e+17,5.963583266340382e+18
11.83392543881112,24.26661472495898,4.08,1.1,2.1640646845119803e+18,-4.415985171545081e+17,2.7070199440183168e+17
12.171178129937884,7.584731955059808,4.44,1.5,3.429737611468467e+18,-1.5919574608526784e+17,-5.362386035221357e+16
12.208753117457066,50.968100116695126,4.9,-0.091,2.9019265844266107e+18,-2.7147705736783046e+17,2.4291427379703025e+18
12.290249448328716,57.81133639237829,3.46,0.587,7.283671201711247e+17,-7.416224364850724e+17,-2.7917381364268832e+17
12.45373731030204,41.07878671193715,4.53,-0.136,5.364648747857614e+18,2.825756018656731e+17,3.789573705838781e+18
13.252104250591035,-1.144372236623221,4.78,1.55,5.414530251616128e+18,3.6369168579886246e+17,-5.327585365489734e+17
13.266511091971148,61.12513714483894,4.8,0.54,9.020857406492617e+17,-6.989513862936733e+17,6.715553280787546e+16
13.750221994265996,58.97241778339134,4.83,1.216,2.559135954106732e+18,-2.9106198579628704e+17,2.8623991459313746e+18
14.165028681441536,59.18074381952912,4.62,0.957,1.6004640509814897e+18,-5.1821269150983795e+17,1.2383410492994836e+18
14.177576241595771,60.716714091567454,2.15,-0.046,3.3834004113439447e+18,-6.757738830701466e+16,4.624402747706656e+18
14.18972424894549,38.499597843337085,3.86,0.13,1.6111307835446088e+18,-5.1507191176927565e+17,3.680859838335228e+17
14.301338871467,23.41733120275678,4.4,0.94,2.674287462945418e+18,-2.420214540036149e+17,4.7783256458069235e+17
14.651680850872063,-29.357405707910832,4.3,-0.154,5.997690036419791e+18,6.401772482262497e+17,-3.5537875183217987e+18
15.735308986058248,7.89031347303777,4.27,0.952,2.3491913292875095e+18,-2.7884243748172826e+17,-1.8748550657591094e+17
16.52032452712127,-46.71819622982267,3.32,0.885,1.864958250097578e+18,-3.969817992420936e+17,-1.7993745239904323e+18
17.096429406455808,-55.24555585684016,3.94,-0.12,2.074712778506321e+18,-3.1894680534340454e+17,-2.6089289387947136e+18
17.148973063108787,-10.183215652300712,3.46,1.161,1.6793107068775864e+18,-4.395105533254278e+17,-6.313604400446897e+17
