Star HIP,Magnitude,RA (degrees),Dec (degrees),Distance (AU),Color
3504.0,4.48,11.181507688575676,48.28431168280281,57295779.51926995,-0.069
3693.0,4.08,11.83392543881112,24.26661472495898,11471902.470592324,1.1
3786.0,4.44,12.171178129937884,7.584731955059808,19295117.52575051,1.5
3801.0,4.9,12.208753117457066,50.968100116695126,24643346.03319706,-0.091
3821.0,3.46,12.290249448328716,57.81133639237829,1227839.8189434144,0.587
3881.0,4.53,12.45373731030204,41.07878671193715,42971834.64171647,-0.136
4147.0,4.78,13.252104250591035,-1.144372236623221,32844714.377796527,1.55
4151.0,4.8,13.266511091971148,61.12513714483894,3830358.525553651,0.54
4292.0,4.83,13.750221994265996,58.97241778339134,25718803.77746668,1.216
4422.0,4.62,14.165028681441536,59.18074381952912,13021768.078064416,0.957
4427.0,2.15,14.177576241595771,60.716714091567454,38771580.12691814,-0.046
4436.0,3.86,14.18972424894549,38.499597843337085,8619507.165617062,0.13
4463.0,4.4,14.301338871467,23.41733120275678,15347083.806210058,0.94
4577.0,4.3,14.651680850872063,-29.357405707910832,42528826.03611131,-0.154
4906.0,4.27,15.735308986058248,7.89031347303777,12034119.392854543,0.952
5165.0,3.32,16.52032452712127,-46.71819622982267,12531276.204483451,0.885
5348.0,3.94,17.096429406455808,-55.24555585684016,17689949.080926757,-0.12
5364.0,3.46,17.148973063108787,-10.183215652300712,7438326.960597578,1.161
5372.0,4.24,17.195453549710916,86.25701218704398,19776107.985331766,1.213
5434.0,4.26,17.375561324321097,47.24170289467086,46560904.35099658,0.012
5447.0,2.07,17.434500656498187,35.6197857276719,12607873.256614031,1.576
5542.0,4.34,17.778402869149602,55.14976752928888,8692153.667052416,0.17
5571.0,4.66,17.8637245042038,21.034577469782253,27798491.4160732,1.024
5586.0,4.51,17.915743975035,30.089379502423625,10256827.76778131,1.092
5742.0,4.67,18.4374203424592,24.58356691183804,23873241.471402675,1.047
5862.0,4.97,18.802861769025903,-45.53043863515824,3104994.84872365,0.571
5896.0,4.25,18.95018244330686,-68.87505043225387,4214646.645009894,0.48
6193.0,4.74,19.866849031399227,27.263978646278797,19662993.930048563,0.032
6242.0,4.95,20.02046710937374,58.23159571169619,147332004.46751386,0.683
6411.0,4.87,20.585398881166025,45.52883784544765,12365995.584912634,1.077
6537.0,3.6,21.005309594658005,-8.184679494722316,7242444.0513816755,1.065
6670.0,4.9,21.405447901698725,-14.598914934909953,18237383.406692788,1.231
6686.0,2.66,21.458086204034142,60.23494261102847,6286644.518811224,0.16
6692.0,4.72,21.4848100635237,68.13019701078169,12212244.306506764,1.047
6813.0,4.83,21.917587997556417,45.40593509756259,5838233.98960683,0.421
6867.0,3.41,22.091190613285704,-43.3196625581622,14796614.52120144,1.542
7007.0,4.84,22.54834134864092,6.143501580894638,22791691.332144376,1.372
7083.0,3.93,22.81438709117935,-49.07164154092847,9312180.877883157,0.972
7097.0,3.62,22.871056134394195,15.345800382789626,18599170.99493313,0.974
7294.0,4.68,23.482241424529324,59.23188084568045,12923860.04619592,0.991
7513.0,4.1,24.19776250475581,41.40283808166952,2777977.201648988,0.536
7588.0,0.45,24.42964611674067,-57.23703311061782,9094568.18049981,-0.158
7607.0,3.59,24.498784226664792,48.62743989205226,10994925.714708712,1.275
7818.0,4.96,25.145221697686384,40.57688747905262,43061546.19663485,-0.068
