RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz
8.25002553307195,62.93176826039628,4.17,0.13,1.7417366289545402e+19,2.747325376996302e+18,3.4940931374803485e+19
9.2203328425703,33.719319127255105,4.34,-0.123,4.924574094654327e+18,1.0243171378234002e+18,3.606168626434819e+18
9.243059946662951,53.8968464274673,3.69,-0.196,3.113969149642449e+18,7.317419111544205e+17,4.725742486776177e+18
9.637131219571549,29.31000379691044,4.34,0.871,1.198737861013103e+18,4.2975949870529434e+17,9.406260662426163e+17
9.832906891636195,30.86045267193544,3.27,1.268,6.37899809302878e+17,3.373789028323422e+17,6.51278126126542e+17
10.12746369697223,56.53710979472115,2.24,1.17,1.0008641293150995e+18,4.0650955115436134e+17,1.9635209626292406e+18
10.331178587238778,-46.084999635615056,4.59,0.953,1.423417306275093e+18,4.87847218170075e+17,-1.5256941807815713e+18
10.51636460002619,50.51248118552076,4.8,-0.105,6.38929205974607e+18,1.4150188800029862e+18,8.259723955752254e+18
10.838427544059812,-57.46295331853858,4.36,0.024,1.0283143009068737e+18,4.26828602929076e+17,-1.7574545471335327e+18
10.866709890986527,47.024290635024265,4.95,0.17,9.312157346086e+17,4.088035989475479e+17,1.3662192039649894e+18
10.899062878153684,-17.986379561895237,2.04,1.019,6.73756005630389e+17,3.5987553290627635e+17,-1.2035130453055411e+17
11.047456816968651,-10.610333719221485,4.77,0.998,1.7426560820526648e+18,5.708428270691915e+17,-2.060503069635991e+17
11.181507688575676,48.28431168280281,4.48,-0.069,5.422580818321654e+18,1.302907993903282e+18,6.557776535080685e+18
11.83392543881112,24.26661472495898,4.08,1.1,1.3584160019862843e+18,5.177044461968319e+17,8.648952631421348e+17
12.171178129937884,7.584731955059808,4.44,1.5,2.624088928942771e+18,8.00107217266072e+17,5.405694083880895e+17
12.208753117457066,50.968100116695126,4.9,-0.091,2.0962779019009147e+18,6.878259059835095e+17,3.023336006710606e+18
12.290249448328716,57.81133639237829,3.46,0.587,-7.728156235457123e+16,2.1768052686626752e+17,3.150194550976147e+17
12.45373731030204,41.07878671193715,4.53,-0.136,4.559000065331918e+18,1.241878565217013e+18,4.3837669745790843e+18
13.252104250591035,-1.144372236623221,4.78,1.55,4.608881569090432e+18,1.3229946491502024e+18,6.143473219132966e+16
