Star HIP,RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name
5571,17.8637245042038,21.034577469782253,4.66,1.024,1.9991207579065454e+18,1.3702442120288968e+18,1.479453135476145e+18,HIP 116454 b
5586,17.915743975035,30.089379502423625,4.51,1.092,-4.3201216709991885e+17,5.879755613439104e+17,7.56064712697268e+17,HIP 116454 b
5742,18.4374203424592,24.58356691183804,4.67,1.047,1.3857160110942764e+18,1.2067141758169165e+18,1.4725711456851633e+18,HIP 116454 b
5862,18.802861769025903,-45.53043863515824,4.97,0.571,-1.3872481044975268e+18,2.844476407787714e+17,-3.4470093605753965e+17,HIP 116454 b
5896,18.95018244330686,-68.87505043225387,4.25,0.48,-1.4803617148900042e+18,2.5336121243884365e+17,-6.013567278732605e+17,HIP 116454 b
6193,19.866849031399227,27.2639786462788,4.74,0.032,7.638865472774331e+17,1.068164830888666e+18,1.334294484115616e+18,HIP 116454 b
6242,20.02046710937374,58.23159571169619,4.95,0.683,9.207708283059192e+18,4.1523424287770767e+18,1.8725556512939364e+19,HIP 116454 b
6411,20.585398881166025,45.52883784544765,4.87,1.077,-4.820486649530061e+17,6.352388497720269e+17,1.306914192885474e+18,HIP 116454 b
6537,21.005309594658005,-8.184679494722316,3.6,1.065,-6.941162709000517e+17,5.639852289828612e+17,-1.6746539039487914e+17,HIP 116454 b
6670,21.405447901698725,-14.598914934909953,4.9,1.231,7.628224326312195e+17,1.1431574999387744e+18,-7.008920235200023e+17,HIP 116454 b
6686,21.458086204034142,60.23494261102847,2.66,0.16,-1.260749344759271e+18,3.5036714843545114e+17,8.031846735451666e+17,HIP 116454 b
6692,21.4848100635237,68.13019701078169,4.72,1.047,-1.0620339591877743e+18,4.288164017113456e+17,1.6822529416759647e+18,HIP 116454 b
6813,21.917587997556417,45.40593509756259,4.83,0.421,-1.1264086596787045e+18,4.08455781050455e+17,6.08728903674027e+17,HIP 116454 b
6867,22.091190613285704,-43.3196625581622,3.41,1.542,-2.030557604514583e+17,7.852302946352718e+17,-1.5318801428212447e+18,HIP 116454 b
7007,22.54834134864092,6.143501580894638,4.84,1.372,1.435623288006308e+18,1.4795266521369446e+18,3.5167787378087654e+17,HIP 116454 b
7083,22.81438709117935,-49.07164154092847,3.93,0.972,-8.54041659853055e+17,5.334407938437228e+17,-1.0657476222025391e+18,HIP 116454 b
7097,22.871056134394195,15.345800382789626,3.62,0.974,7.76997008564343e+17,1.222427422304984e+18,7.231369632358717e+17,HIP 116454 b
7294,23.482241424529324,59.23188084568045,4.68,0.991,-7.881302522080901e+17,5.73673877174481e+17,1.6480537625536922e+18,HIP 116454 b
7513,24.19776250475581,41.40283808166952,4.1,0.536,-1.4109513072636529e+18,3.073373132488319e+17,2.6162896175932144e+17,HIP 116454 b
7588,24.42964611674067,-57.23703311061782,0.45,-0.158,-1.024922805145274e+18,4.84074135983231e+17,-1.1573248686947044e+18,HIP 116454 b
7607,24.498784226664792,48.62743989205226,3.59,1.275,-7.059991490328722e+17,6.303842088695242e+17,1.2211161298688484e+18,HIP 116454 b
7818,25.145221697686384,40.57688747905262,4.96,-0.068,2.7339541461928356e+18,2.2586377647172137e+18,4.1771008242232013e+18,HIP 116454 b
7884,25.357735580425697,5.487638056821011,4.45,1.347,1.437489308386426e+18,1.6642856674197366e+18,3.1984133145879616e+17,HIP 116454 b
7918,25.453824947473137,42.61212933209541,4.96,0.618,-1.4360207255990574e+18,3.029723353580409e+17,2.509280780938369e+17,HIP 116454 b
7999,25.681211611836503,-3.690436953618045,4.98,1.378,8.545102994658847e+18,5.103796767660827e+18,-7.461138750919725e+17,HIP 116454 b
8068,25.91541751873087,50.68863898731795,4.01,-0.098,2.1691668025706662e+18,2.0573281843721088e+18,5.233963922483186e+18,HIP 116454 b
8102,26.004696254874776,-15.931604718523872,3.49,0.727,-1.5980159134103055e+18,2.2701715908484618e+17,-4.4111224421321976e+16,HIP 116454 b
8198,26.34895405180304,9.158003969437589,4.26,0.942,4.661505382816333e+17,1.2501127737082936e+18,3.7563077814906355e+17,HIP 116454 b
8497,27.39521907940048,-10.687060100096954,4.66,0.333,-1.0595933596682426e+18,5.0900990577430234e+17,-1.483374332164919e+17,HIP 116454 b
8645,27.865411110423214,-10.3352993546938,3.74,1.136,4.363002446292398e+17,1.3065351907669873e+18,-4.529354083098443e+17,HIP 116454 b
8796,28.270544618366586,29.57722187261977,3.42,0.488,-1.2306632781896676e+18,4.2943092478834125e+17,2.861922877932909e+17,HIP 116454 b
8832,28.383138453224795,19.29317013578968,3.88,-0.047,-8.981949813947674e+16,1.047027379453533e+18,6.255841045585967e+17,HIP 116454 b
8833,28.38912319974112,3.1877009251266406,4.61,0.928,-1.111641321743529e+17,1.0357082814226263e+18,8.706734166551269e+16,HIP 116454 b
8837,28.41050394500296,-46.30329766390707,4.39,1.597,1.520050110318226e+17,1.178829619816625e+18,-2.2112455793780168e+18,HIP 116454 b
8886,28.59935224955399,63.66997314447979,3.35,-0.15,-6.702718563287245e+16,1.067297018359029e+18,3.7341946715909975e+18,HIP 116454 b
8903,28.66074689810932,20.807286676296933,2.64,0.165,-1.2329067314307791e+18,4.322990565139663e+17,1.87024579877026e+17,HIP 116454 b
8928,28.73525540738888,-67.64679997534982,4.68,0.931,-1.0110918477883404e+18,5.546980986451056e+17,-1.910725406283326e+18,HIP 116454 b
9007,28.99701297381737,-51.60694034708662,3.69,0.844,-1.4021965288900344e+18,3.4200752665247974e+17,-4.3610523349988845e+17,HIP 116454 b
9009,29.000369671983417,68.68517486700316,4.97,-0.084,4.1439665027837286e+17,1.348999336549479e+18,6.168823971229055e+18,HIP 116454 b
9061,29.167954855923167,-22.52699255024503,4.92,1.434,1.347317875357086e+18,1.877786639912962e+18,-1.4584471462763438e+18,HIP 116454 b
9095,29.293034606265536,-47.3852168347433,4.82,0.864,-2.0421719305689984e+17,1.0160757934808563e+18,-1.8715254188251569e+18,HIP 116454 b
9153,29.48146806949714,23.595961575113765,4.79,0.29,-6.901475422570356e+17,7.478162150337633e+17,4.911373465236287e+17,HIP 116454 b
9236,29.696266027424567,-61.569674029328105,2.86,0.29,-1.4162858181399155e+18,3.3868011601609075e+17,-6.064784858367081e+17,HIP 116454 b
