Star HIP,RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name
66234,203.6122353061552,49.01616104470043,4.68,0.132,-8.072757859398461e+17,-1.0038681955941641e+18,1.0512289074491016e+18,HD 63433 d
66249,203.67138172263697,-0.5954861566641972,3.38,0.114,-3.584741000425073e+17,-8.084577214668667e+17,-3.165973573205756e+17,HD 63433 d
66257,203.69993255685023,37.18234742337083,4.91,0.404,-7.264163344349601e+17,-9.703494708524753e+17,5.209072186793414e+17,HD 63433 d
66458,204.364309098878,36.29506071831361,4.82,0.239,-1.0560269377299638e+18,-1.1335528968645861e+18,7.6442456106675e+17,HD 63433 d
66657,204.9717413109792,-53.46648176109573,2.29,-0.171,-1.642560834947663e+18,-1.4238049272296573e+18,-3.165855200949097e+18,HD 63433 d
66738,205.1842439388157,54.68155566070224,4.63,1.63,-2.441897531070691e+18,-1.8083491183159713e+18,3.929320422231286e+18,HD 63433 d
66821,205.4360275248864,-54.5595942547371,4.99,-0.055,-1.0650814686641792e+18,-1.168141652404392e+18,-2.3957025969528207e+18,HD 63433 d
67153,206.41806543178845,-33.044726656450955,4.23,0.39,-1.703914872951733e+17,-7.520787345414172e+17,-6.335412868100847e+17,HD 63433 d
67234,206.6641893973088,-51.43295818629657,4.64,0.955,-1.0799363322403722e+18,-1.211215261365271e+18,-2.2121286180317885e+18,HD 63433 d
67275,206.81213218864508,17.457278722059407,4.5,0.508,-1.33863703586856e+17,-7.374573880168e+17,-1.6502882307915926e+17,HD 63433 d
67301,206.88387775624705,49.31315808398784,1.85,-0.099,-2.7809350230882963e+17,-8.112228271636933e+17,4.130012370011244e+17,HD 63433 d
67457,207.3609827687225,-34.45118767962469,4.19,1.52,-9.529919708995407e+17,-1.1662971814345587e+18,-1.258612846000655e+18,HD 63433 d
67459,207.36866849571257,15.798185266667785,4.05,1.52,-1.7082027122490278e+18,-1.5574464528073172e+18,3.2272089558060397e+17,HD 63433 d
67464,207.37591497764643,-41.68784942939299,3.41,-0.225,-2.702724133152107e+18,-2.072745318287326e+18,-3.2966286718213775e+18,HD 63433 d
67472,207.4038983369999,-42.47386398072898,3.47,-0.17,-2.988410366095847e+18,-2.2227009363778312e+18,-3.6755461113427866e+18,HD 63433 d
67480,207.4286270820055,21.264222479329867,4.92,1.432,-2.6049271945006807e+18,-2.0254669127523466e+18,9.536901042405171e+17,HD 63433 d
67494,207.4671289310465,-18.134427213969325,4.96,1.059,-1.6543293450010245e+18,-1.5337680502043776e+18,-1.021878786267199e+18,HD 63433 d
67627,207.8581049169076,64.72324047261917,4.58,1.572,-1.1225563876556803e+18,-1.2694967630326387e+18,3.0402791069011384e+18,HD 63433 d
67665,207.94764183285187,34.44402154345032,4.76,1.611,-3.887020976221999e+18,-2.738947904624631e+18,2.922613342402699e+18,HD 63433 d
67669,207.9563750793385,-32.99429682384871,4.32,-0.146,-1.809959863871276e+18,-1.6373958643718354e+18,-1.8425618359733107e+18,HD 63433 d
67786,208.30213618112288,-31.927686219566542,4.75,-0.111,-4.4589221148567127e+18,-3.080027268489947e+18,-3.660280068683082e+18,HD 63433 d
67927,208.67071956079025,18.39525404827731,2.68,0.58,-1.5516676259543616e+16,-6.897126201079636e+17,-1.989572459493287e+17,HD 63433 d
68002,208.88436122310725,-47.28868291494292,2.55,-0.176,-1.8853167836176643e+18,-1.7226461660817976e+18,-2.983135029659363e+18,HD 63433 d
68191,209.41138735704163,-63.68692166055299,4.71,1.075,-4.8745801481532896e+17,-9.606894803702484e+17,-2.0813367767616095e+18,HD 63433 d
68245,209.56755568721496,-42.1008897668376,3.83,-0.224,-2.5648667557028884e+18,-2.1420123561592492e+18,-3.260590429247685e+18,HD 63433 d
