hip,Magnitude,RA (degrees),Dec (degrees),Distance (AU)
40952,7.17,125.36542700006382,-39.70385761809389,5932263.631149624
42030,7.46,128.51250683060744,-1.5688935591319313,10593980.806146149
42202,8.9,129.0731716611632,-34.459134092762156,10942430.041970806
42214,8.08,129.09446321558187,-30.037174667621755,7533411.479498155
42401,9.67,129.68812935881562,-13.256415156596569,6937934.955567451
42403,6.89,129.68931535703678,23.68488419244562,7232286.336310131
42723,7.61,130.60484812153405,4.576718602325604,13315997.827395866
43297,7.45,132.30119675057244,3.4851636700248547,6157158.396455984
46022,8.48,140.79151729576222,33.90452155676912,19080925.651079435
47193,4.28,144.27126448429115,81.32627237354161,68074193.48258631
47780,10.22,146.11970343752597,-45.780542102683725,2024784.6024280763
48780,7.41,149.2408973869506,-15.895576905668847,14968418.4477507
49699,7.56,152.17921104110152,34.24184520747983,3725208.707848227
49813,8.01,152.5318875892804,18.185055759413835,15358511.273067396
50316,6.46,154.11652255679513,28.681845249387866,6600473.798397458
50473,7.02,154.58677575195264,12.620839400118312,6370129.905567065
50653,7.64,155.1688487593585,-53.66398841836524,11646798.768091135
52796,8.34,161.9085351854335,71.65564634650407,16567454.31807056
54203,8.39,166.31963895898488,81.03886722685797,17174421.84739591
54597,9.83,167.60820321974484,-29.414486789631614,8330565.675624847
55409,8.0,170.2142074682193,-23.218562929481504,8822275.718891378
55507,9.8,170.5219726047522,46.90744211547233,5110624.536662563
56572,8.42,173.96460917027062,-4.7554669901502775,10890433.27019001
56640,7.94,174.20096822464876,-37.03917680620573,26208996.976438947
58331,6.58,179.437991488837,-8.548565051626007,11840689.217498416
59610,7.41,183.37312149522793,10.039716461299328,7722381.3663759325
59625,7.58,183.40465974525412,-9.513670047725759,18125202.653963644
59743,7.34,183.7756403408623,-7.2577039168421305,7500538.408648026
60398,11.63,185.74020876983883,64.03341333368765,3716483.022721404
60648,10.26,186.46051929876347,-1.1111289977685603,7921075.512602527
60689,9.25,186.57375000277418,-51.363173210066165,13087868.412497368
60788,9.38,186.87813591563284,-71.42218116422924,10654173.876693014
62039,7.83,190.7456751943683,-4.050566355964554,9589251.804421065
62452,11.39,191.9789040234468,9.748226301757883,1693749.45618732
62534,7.59,192.21616326028808,-68.4243751022921,5956246.206783402
62875,6.11,193.29466911422733,-3.5531218923914007,6707798.5760740815
63211,6.11,194.2823864998445,46.17641864123549,21757890.951397832
63584,6.01,195.44287395531074,63.61040074572526,7719491.253075904
64184,8.2,197.31691150171568,-60.30847902484156,17131628.4212416
64457,7.56,198.18149065366038,-2.2649734492175777,4213785.616689554
64797,6.49,199.21725831660433,17.01538826773037,2315760.715517163
65042,8.34,199.98512213409896,38.36919411176082,17509745.857998025
65808,7.26,202.33624013406376,-35.5714902524513,6809666.760071484
65891,6.75,202.60497363627147,-58.6644179358625,29382451.027339887
66074,10.25,203.15925546262892,75.0072332267502,7398307.272858462
66192,8.05,203.50955139974255,53.72798955440857,18269690.54469615
67246,6.33,206.73447079933297,6.349618520756674,6315517.659276481
67285,10.27,206.84534736957272,-6.1408315154181965,8769762.21426767
67522,9.79,207.52589778457866,-40.83595871676881,25977935.289273713
67537,6.43,207.58088314753343,-39.90091657529994,23201890.45966324
