HIP ID,RAJ2000,DEJ2000,Gmag,Plx,Teff,PM,Absolute Magnitude
112,0.35766333479,-16.94844231903,10.098359,31.76,--,388.083,7.607761468775294
110,0.34860587902,39.61072094288,8.895423,19.336,5133.2,54.274,5.327256186997968
113,NULL,NULL,NULL,NULL,NULL,NULL,NULL
114,NULL,NULL,NULL,NULL,NULL,NULL,NULL
118,NULL,NULL,NULL,NULL,NULL,NULL,NULL
115,0.37258568366,-62.92313055304,7.450423,3.9546,9546.4,11.24,0.4359358101190818
117,0.38054835639,-72.6059009999,8.237561,1.8126,--,17.265,-0.4709291217153808
119,0.39016928513,44.67540302426,6.542779,6.1672,4838.0,20.088,0.49321916331521454
116,0.37532503126,-33.7927720413,8.504671,7.7394,6658.3,34.368,2.9482074656951234
122,0.39874772791,-77.06572534602,4.366584,15.4549,--,185.704,0.31191499666057965
120,0.39591817174,-45.34475939853,7.91326,1.9813,--,35.567,-0.6019888023168045
123,0.39989366012,72.23661595176,6.887612,5.8049,--,43.951,0.7065857131186446
121,0.39642358022,28.42369167819,6.483169,4.2578,4820.6,39.17,-0.37090471183035945
124,0.40423349108,61.22279985728,5.453592,1.3825,7014.4,1.766,-3.84308230011632
126,0.40882607207,14.63232506905,7.79954,3.0478,5284.4,37.72,0.2194723235966638
125,0.40467371791,-39.33674842866,8.606897,6.5342,6727.1,33.878,2.6828591165427245
127,NULL,NULL,NULL,NULL,NULL,NULL,NULL
128,0.41441007926,73.61184646672,6.480009,14.3366,7894.5,77.721,2.2622398416252585
129,0.41561667955,5.37280803502,9.195368,5.1878,6120.0,24.194,2.770284124096978
130,0.41829467968,-30.69253622993,8.836822,2.1249,--,19.053,0.4735144825902591
131,0.4198208114,62.01808667832,8.100256,6.9667,11437.3,30.435,2.3153915467522417
137,0.43270504389,42.36714334089,6.226424,2.9772,--,5.049,-1.4045359484008308
133,0.42347579878,-40.14870610769,6.506227,5.5573,6091.3,37.565,0.23054620979321427
138,0.43744325367,-16.53166193414,7.532662,6.0004,4888.2,97.192,1.4235630119202405
139,0.44528283065,67.50697287004,9.331973,0.983,--,2.382,-0.7052594108393233
132,0.42202278256,-34.65354336159,10.536109,2.476,7042.9,15.783,2.5048622017404014
135,0.42679514528,-0.21777795562,8.495264,19.1241,5795.4,116.316,4.903169029786884
136,0.42869153222,24.25311278059,6.261549,5.4909,4721.7,33.703,-0.04023332784143907
134,0.42519378303,-1.13996140878,9.902843,3.2153,7693.5,22.292,2.438950502578307
140,0.45333110243,-68.10489308837,8.921438,8.8192,6096.9,106.135,3.648583957777472
141,0.45348800275,36.35035824995,8.041692,4.0897,4722.3,19.875,1.1001492574901253
143,NULL,NULL,NULL,NULL,NULL,NULL,NULL
144,0.45528386166,76.17559770839,8.184789,2.6755,--,19.79,0.32181377655136867
146,0.45583657249,-25.79853095429,8.890443,7.5672,7007.3,367.248,3.285119062297553
145,0.45603380293,-3.02750328334,5.090039,7.5845,--,20.671,-0.5103262216495326
149,0.47785970524,26.00405012453,10.918463,17.8842,4731.0,698.892,7.180810589812085
142,0.45378587757,66.30603253366,7.171536,16.5611,5775.8,13.985,3.2669818977709855
151,NULL,NULL,NULL,NULL,NULL,NULL,NULL
147,0.46605968916,21.02623564389,7.909909,1.2232,--,8.471,-1.6526036379786815
150,0.480306296,-37.22995069329,6.738419,7.0922,5056.6,48.193,0.9923238710175397
148,0.47882005462,15.52854117111,8.008915,4.4083,--,11.993,1.230270710424616
152,0.48441477769,-28.13094847091,9.921985,3.9873,6724.5,14.025,2.9253795636180575
155,NULL,NULL,NULL,NULL,NULL,NULL,NULL
154,0.49008113222,-6.01407055668,3.292785,7.8758,--,61.979,-2.225741604873273
160,NULL,NULL,NULL,NULL,NULL,NULL,NULL
153,0.48450786918,12.65488769767,8.791101,4.6497,6437.7,31.459,2.1282256649362186
159,0.51090459093,-2.76617089014,6.871397,15.6486,7234.4,38.382,2.8437744476002838
156,0.49693660411,63.35782665998,8.562247,2.4257,--,12.415,0.4864324410184224
157,0.50042326128,-5.21392470356,8.279795,5.828,5043.0,48.864,2.1073927154897634
161,0.51240767307,33.69596105295,8.472102,1.3736,--,27.71,-0.8385965892356992
158,0.50084468254,-37.90187648151,6.82281,5.7979,5063.5,126.238,0.6391636026779262
162,0.51335263623,27.11860418319,9.674858,3.0747,5862.1,9.421,2.113871739255531
165,NULL,NULL,NULL,NULL,NULL,NULL,NULL
168,NULL,NULL,NULL,NULL,NULL,NULL,NULL
171,NULL,NULL,NULL,NULL,NULL,NULL,NULL
169,NULL,NULL,NULL,NULL,NULL,NULL,NULL
163,0.51719396824,-30.68522914018,8.970078,4.1288,8572.3,17.978,2.0491972303094776
166,0.52131706221,-56.51492944516,8.704645,9.2855,5663.8,48.961,3.543671471663023
164,0.51912717194,59.94010091841,7.709221,3.8212,--,119.041,0.6202198453685845
170,0.53760182163,-20.87166236176,9.512423,3.9722,6161.7,32.073,2.5075785353574966
167,0.52782596698,39.1832054912,8.569393,3.2766,--,6.843,1.1465101345959363
172,0.54286960254,67.40895246161,8.576735,0.9248,--,2.645,-1.5930258946177318
173,0.54957267866,47.57720413702,8.387774,3.0243,9691.4,10.448,0.7908983473109945
174,NULL,NULL,NULL,NULL,NULL,NULL,NULL
175,0.552420573,49.77108693293,7.608661,3.5284,5031.4,21.341,0.3465500670290105
177,0.56021980526,-11.96434837595,8.906956,4.9063,8039.0,9.571,2.3607264999890054
176,0.55339975622,44.42825971134,8.70976,3.7886,--,20.22,1.6021537746423293
181,0.57377317601,60.70316796437,5.742062,2.5792,4958.8,14.253,-2.200512899375017
