RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz
32.387194284714965,34.98702775434603,3.0,0.14,3.421054855966555e+18,1.8749220787433464e+18,3.215519113350693e+18
33.09231991979113,30.30264657486612,4.94,0.77,4.697349403199374e+18,2.720836437079129e+18,3.999056588446185e+18
33.24979866167504,8.846618254861736,4.36,0.878,5.437502534180433e+18,3.214296723866992e+18,3.0679292434957e+18
33.30531930492678,44.23154706432287,4.84,1.476,5.760819837877913e+18,3.430643083221035e+18,6.21439936123735e+18
34.12844191494999,-51.51231526316686,3.56,-0.12,3.3623026158880896e+18,1.8704669003047987e+18,1.3943564182520197e+18
34.273038252837225,34.222536158523035,4.84,0.607,2.8361574462712596e+18,1.5147024818573763e+18,2.7294589598940677e+18
34.328985520774765,33.846833001440004,4.03,0.019,3.370686595788415e+18,1.8800571435885983e+18,3.1610205119060705e+18
35.43631506782431,-68.65940168877292,4.08,0.034,2.9871113264535726e+18,1.6290192628346752e+18,1.3486425820981368e+18
36.4061839638173,50.27853228610331,4.73,1.532,4.2851550629824737e+18,2.596035340392706e+18,5.050128101316841e+18
36.487439546843824,-12.29055783507767,4.88,-0.027,6.536197802150463e+18,4.2646327276314204e+18,1.4766379727889948e+18
36.74654704428184,-47.70387754778872,4.24,-0.136,5.304297812399794e+18,3.37242335259926e+18,-1.1580144138431846e+18
37.040050491579365,8.459954097670764,4.3,-0.053,3.922246410962609e+18,2.351056361144442e+18,2.7862232434175606e+18
37.26594102058533,67.40272879031919,4.46,0.153,3.0170319430499615e+18,1.6704775628688445e+18,3.7777034009068093e+18
37.978193574676204,89.26402863410254,1.97,0.636,2.648803165106346e+18,1.3911270851564746e+18,6.622539215731866e+18
38.02120771226365,-15.245686758692852,4.74,0.454,3.213035928602114e+18,1.8323404226755873e+18,2.33172768578305e+18
38.46116761995172,-28.23235312214142,4.96,-0.05,5.568215845003758e+18,3.7106683537029263e+18,5.110593128063268e+17
38.96843398175161,5.593089764687819,4.87,0.88,5.330058374774462e+18,3.561085345067428e+18,2.8841565117888e+18
39.87075230960048,0.3284932510605736,4.08,-0.212,7.306344630670233e+18,5.283654230211442e+18,2.576335400760357e+18
