Star HIP,RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name
89112,272.8071829693893,-45.95467388798951,4.52,1.009,1.3435961199033103e+18,-2.3072233705769974e+18,-5.53034677770891e+17,HD 114082 b
89153,272.9306128066522,-23.70142608839815,4.96,1.055,1.3201421120680381e+18,-1.735804775433795e+18,1.2972807213941878e+18,HD 114082 b
89172,272.9755375325855,31.4055230789502,4.96,1.643,1.4641728115877248e+18,-4.474741037003743e+18,5.19308352291101e+18,HD 114082 b
89341,273.4408867871655,-21.058843249173368,3.84,0.195,1.6923917713326406e+19,-2.6093492574996162e+20,-9.857193811271356e+19,HD 114082 b
89348,273.4799018247394,64.39753478517564,4.99,0.44,1.230952767123535e+18,6.514346194759584e+16,2.880237092505755e+18,HD 114082 b
89642,274.4057028733964,-36.762831958978914,3.1,1.582,1.298765818366755e+18,-7.491219757727314e+17,1.3819441322073021e+18,HD 114082 b
89678,274.5133299520948,-27.04266021248679,4.66,1.629,1.6760362578531597e+18,-5.501598709039692e+18,-7.841937839521518e+17,HD 114082 b
89826,274.96531919748304,36.06483161116864,4.33,1.162,1.3694066763280445e+18,-1.434667420995578e+18,3.5513890735478625e+18,HD 114082 b
89861,275.07477406420645,21.96088898958321,4.92,1.594,1.5424115267650143e+18,-3.3435434898614815e+18,3.7328954150424013e+18,HD 114082 b
89908,275.1891664456056,71.33806051298633,4.22,-0.093,1.2911050531791619e+18,-4.938814420447858e+17,4.818137080484208e+18,HD 114082 b
89918,275.2169414482376,3.377223335248381,4.85,0.911,1.4432225532449907e+18,-2.155246677090523e+18,2.376502302041376e+18,HD 114082 b
89931,275.2487448730692,-29.828284705914445,2.72,1.38,1.4414433763051965e+18,-2.1204451928220408e+18,7.879286540429729e+17,HD 114082 b
89937,275.27639935222425,72.73042421324772,3.55,0.489,1.218723361945638e+18,3.043715258848298e+17,2.4638156929657513e+18,HD 114082 b
89962,275.3237321274429,-2.9036448025823733,3.23,0.941,1.2660798900532485e+18,-2.0317045214948045e+17,2.1967973481083597e+18,HD 114082 b
90098,275.8067627580067,-61.49388924021055,4.35,1.462,1.403940089785068e+18,-1.5101620787113981e+18,-1.2679694924225103e+18,HD 114082 b
90135,275.91529654620035,-8.934023619509174,4.66,0.932,1.3958646237444948e+18,-1.3973387795389688e+18,1.9458321949788357e+18,HD 114082 b
90139,275.9259882588281,21.768081214164308,3.85,1.168,1.3284177250626568e+18,-7.443255429911823e+17,2.6769243753252065e+18,HD 114082 b
90156,275.9770275424846,58.801163104871165,4.98,0.082,1.3080908562233953e+18,-5.405278741796458e+17,3.7512075307536333e+18,HD 114082 b
90185,276.04266292688,-34.38546935517843,1.79,-0.031,1.3308132816017784e+18,-7.451309352658132e+17,1.4535868995683338e+18,HD 114082 b
90289,276.33773021229763,-20.54187652716266,4.81,1.31,1.7961310397925668e+18,-4.881947629025983e+18,2.433291441986043e+17,HD 114082 b
90344,276.49817993937603,65.56329428397889,4.82,1.179,1.3524673785208627e+18,-8.559099130334326e+17,4.959177316276368e+18,HD 114082 b
90422,276.7432361111832,-45.96882563097585,3.49,-0.179,1.4044698218773463e+18,-1.2504902460628652e+18,5.302833389906688e+17,HD 114082 b
90496,276.99232778867406,-25.42298144847571,2.82,1.025,1.292331172058205e+18,-2.776250140092676e+17,1.9124881144817882e+18,HD 114082 b
90568,277.20919275512546,-49.07216397376846,4.1,0.995,1.3110297347843246e+18,-4.0553003851814605e+17,1.3157042586594294e+18,HD 114082 b
90595,277.2994125588295,-14.565837382232694,4.67,0.076,1.551036511912245e+18,-2.2694421480932948e+18,1.5328884250471974e+18,HD 114082 b
90797,277.843424756918,-62.27861555059241,4.63,-0.116,1.4995758977425334e+18,-1.7101846708173097e+18,-1.7846795391256947e+18,HD 114082 b
90830,277.93926647881625,-45.915011693748966,4.92,-0.101,1.9351672578988892e+18,-4.808071346022274e+18,-3.1797020637793434e+18,HD 114082 b
90905,278.14384834998896,57.045550272030745,4.77,0.611,3.3161921462225766e+18,-1.432672645150331e+19,2.5140016335723356e+19,HD 114082 b
90982,278.3760760148462,-42.31265447356998,4.62,0.994,2.0959651648700416e+18,-5.626113098550489e+18,-3.298160154835147e+18,HD 114082 b
91117,278.80164593020424,-8.246236999581129,3.85,1.317,1.4615498651931185e+18,-1.2342340637832115e+18,1.9899765291247741e+18,HD 114082 b
91262,279.2365092288037,38.78566909886688,0.03,-0.001,1.2418803892959124e+18,1.9372843700673446e+17,2.3763166110914565e+18,HD 114082 b
91726,280.5684997483262,-9.05253476076852,4.7,0.358,1.5324092845411487e+18,-1.3397887529460685e+18,1.948008934315475e+18,HD 114082 b
91792,280.75892758150246,-71.42920216384104,4.01,1.134,1.3299119986826163e+18,-2.4300221470510938e+17,3.453347563321554e+17,HD 114082 b
91845,280.8803677909631,-8.275135192429548,4.88,1.112,2.1356429327807058e+18,-4.427742055654357e+18,1.5146688422059812e+18,HD 114082 b
91918,281.0806785073413,-35.64217224116746,4.86,-0.168,1.87853824079601e+18,-3.0259079977847306e+18,-2.606239720823703e+17,HD 114082 b
91919,281.08486646822763,39.67053754417056,4.67,0.17,1.439127832109682e+18,-7.81760269892045e+17,3.206415397317355e+18,HD 114082 b
91926,281.0949698585724,39.61307806082056,4.59,0.18,1.43683595471145e+18,-7.689902215532374e+17,3.193680194703011e+18,HD 114082 b
91971,281.1934099881805,37.6052976014953,4.34,0.192,1.4354645889763446e+18,-7.517163498606614e+17,3.113331754362957e+18,HD 114082 b
92024,281.36261712863217,-64.87228212576616,4.78,0.199,1.287397608021446e+18,2355200675754816.0,1.4097638107237755e+18,HD 114082 b
92041,281.4145052052024,-26.99077520951161,3.17,-0.107,1.596777111848102e+18,-1.5282411899096443e+18,1.2359821228144911e+18,HD 114082 b
92043,281.41545475549134,20.54399911129982,4.19,0.483,1.3211377611058506e+18,-1.629600411977362e+17,2.433167616947051e+18,HD 114082 b
92088,281.5188116861499,26.662297600497222,4.83,1.199,1.6368320981963901e+18,-1.707059531062998e+18,3.2948059688440934e+18,HD 114082 b
92161,281.75591372653025,18.182337537875235,4.34,0.148,1.3817685497737295e+18,-4.382115540799717e+17,2.500173578393768e+18,HD 114082 b
92175,281.793583571636,-4.747976624386932,4.22,1.087,2.540720945214588e+18,-5.986227658407143e+18,1.686407935846434e+18,HD 114082 b
92420,282.5199868887488,33.362636365893074,3.52,0.003,2.721906439092612e+18,-6.421942757644322e+18,6.812747506327893e+18,HD 114082 b
92512,282.80144543690574,59.38852567307737,4.63,1.185,1.5559634808204173e+18,-1.136198298160865e+18,4.85060134145241e+18,HD 114082 b
92609,283.0542923925582,-62.18768656835541,4.22,-0.15,3.0185857740881987e+18,-7.413899702451129e+18,-1.2936165904118395e+19,HD 114082 b
92689,283.3064889558404,50.70803063018909,4.92,0.903,1.677040329810403e+18,-1.5886673899938967e+18,4.696023219940935e+18,HD 114082 b
92761,283.5424267301829,-22.744873259700466,4.86,1.412,4.998179074667984e+18,-1.5341681633986245e+19,-4.5521702302039685e+18,HD 114082 b
92782,283.60043681031027,71.2974815546218,4.82,1.151,1.4576262918581112e+18,-6.376605020261321e+17,5.312756995531326e+18,HD 114082 b
92791,283.6261246095898,36.898635529449614,4.22,1.575,2.8134277214383974e+18,-6.22872403178554e+18,7.33017264547991e+18,HD 114082 b
92818,283.6870693970526,22.64508316270846,4.57,0.782,2.2161856964392364e+18,-3.7457744791025654e+18,3.9969916623518996e+18,HD 114082 b
