Star HIP,RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name
4436,14.18972424894549,38.499597843337085,3.86,0.13,1.2226599948995942e+18,2.992104819143473e+17,7.598091370644134e+17,GJ 486 b
4463,14.301338871467,23.41733120275678,4.4,0.94,2.285816674300404e+18,5.722609396800081e+17,8.69555717811583e+17,GJ 486 b
4577,14.651680850872063,-29.357405707910832,4.3,-0.154,5.609219247774776e+18,1.4544596419098726e+18,-3.162064365090908e+18,GJ 486 b
4906,15.735308986058248,7.89031347303777,4.27,0.952,1.960720540642495e+18,5.354399562018948e+17,2.0423764665497965e+17,GJ 486 b
5165,16.52032452712127,-46.71819622982267,3.32,0.885,1.4764874614525635e+18,4.173005944415295e+17,-1.4076513707595415e+18,GJ 486 b
5348,17.096429406455808,-55.24555585684016,3.94,-0.12,1.6862419898613064e+18,4.953355883402185e+17,-2.217205785563823e+18,GJ 486 b
5364,17.148973063108787,-10.183215652300712,3.46,1.161,1.290839918232572e+18,3.7477184035819526e+17,-2.3963728681379907e+17,GJ 486 b
5372,17.195453549710916,86.25701218704398,4.24,1.213,4.28789833160368e+17,1.089277959750483e+17,2.9092921480508175e+18,GJ 486 b
5434,17.375561324321097,47.24170289467086,4.26,0.012,4.757431526289883e+18,1.4640506452917335e+18,5.071344101040519e+18,GJ 486 b
5447,17.434500656498187,35.6197857276719,2.07,1.576,1.7070922670453983e+18,5.112135636012395e+17,1.0555908170172727e+18,GJ 486 b
5542,17.778402869149602,55.14976752928888,4.34,0.17,9.518642110673065e+17,2.7871467253269114e+17,1.0242243189488018e+18,GJ 486 b
5571,17.8637245042038,21.034577469782253,4.66,1.024,3.938692937217154e+18,1.2425087437337864e+18,1.4497682862514813e+18,GJ 486 b
5586,17.915743975035,30.089379502423625,4.51,1.092,1.5075600122106895e+18,4.6024009304880006e+17,7.263798634726043e+17,GJ 486 b
5742,18.4374203424592,24.58356691183804,4.67,1.047,3.325288190404885e+18,1.078978707521806e+18,1.4428862964604997e+18,GJ 486 b
5862,18.802861769025903,-45.53043863515824,4.97,0.571,5.523240748130816e+17,1.5671217248366096e+17,-3.743857852822033e+17,GJ 486 b
5896,18.95018244330686,-68.87505043225387,4.25,0.48,4.592104644206041e+17,1.2562574414373325e+17,-6.310415770979242e+17,GJ 486 b
6193,19.866849031399227,27.2639786462788,4.74,0.032,2.7034587265880417e+18,9.404293625935556e+17,1.3046096348909524e+18,GJ 486 b
6242,20.02046710937374,58.23159571169619,4.95,0.683,1.11472804623698e+19,4.024606960481966e+18,1.86958716637147e+19,GJ 486 b
6411,20.585398881166025,45.52883784544765,4.87,1.077,1.4575235143576023e+18,5.075033814769164e+17,1.2772293436608105e+18,GJ 486 b
6537,21.005309594658005,-8.184679494722316,3.6,1.065,1.2454559084105567e+18,4.362497606877508e+17,-1.9715023961954282e+17,GJ 486 b
6670,21.405447901698725,-14.598914934909953,4.9,1.231,2.702394611941828e+18,1.015422031643664e+18,-7.30576872744666e+17,GJ 486 b
6686,21.458086204034142,60.23494261102847,2.66,0.16,6.788228345513375e+17,2.2263168014034074e+17,7.734998243205029e+17,GJ 486 b
6692,21.4848100635237,68.13019701078169,4.72,1.047,8.77538220122834e+17,3.010809334162352e+17,1.652568092451301e+18,GJ 486 b
6813,21.917587997556417,45.40593509756259,4.83,0.421,8.131635196319039e+17,2.8072031275534458e+17,5.790440544493633e+17,GJ 486 b
6867,22.091190613285704,-43.3196625581622,3.41,1.542,1.73651641885915e+18,6.574948263401614e+17,-1.5615649920459082e+18,GJ 486 b
7007,22.54834134864092,6.143501580894638,4.84,1.372,3.3751954673169167e+18,1.3517911838418342e+18,3.2199302455621286e+17,GJ 486 b
7083,22.81438709117935,-49.07164154092847,3.93,0.972,1.0855305194575534e+18,4.057053255486124e+17,-1.0954324714272028e+18,GJ 486 b
7097,22.871056134394195,15.345800382789626,3.62,0.974,2.7165691878749517e+18,1.0946919540098737e+18,6.934521140112081e+17,GJ 486 b
7294,23.482241424529324,59.23188084568045,4.68,0.991,1.1514419271025183e+18,4.459384088793706e+17,1.6183689133290286e+18,GJ 486 b
7513,24.19776250475581,41.40283808166952,4.1,0.536,5.286208720469555e+17,1.7960184495372144e+17,2.3194411253465776e+17,GJ 486 b
7588,24.42964611674067,-57.23703311061782,0.45,-0.158,9.146493741653344e+17,3.563386676881206e+17,-1.187009717919368e+18,GJ 486 b
7607,24.498784226664792,48.62743989205226,3.59,1.275,1.2335730302777362e+18,5.0264874057441376e+17,1.1914312806441848e+18,GJ 486 b
7818,25.145221697686384,40.57688747905262,4.96,-0.068,4.673526325503444e+18,2.1309022964221033e+18,4.147415974998537e+18,GJ 486 b
7884,25.357735580425697,5.487638056821011,4.45,1.347,3.377061487697035e+18,1.536550199124626e+18,2.901564822341325e+17,GJ 486 b
7918,25.453824947473137,42.61212933209541,4.96,0.618,5.0355145371155104e+17,1.752368670629305e+17,2.2124322886917322e+17,GJ 486 b
7999,25.681211611836503,-3.690436953618045,4.98,1.378,1.0484675173969455e+19,4.976061299365717e+18,-7.757987243166362e+17,GJ 486 b
8068,25.91541751873087,50.68863898731795,4.01,-0.098,4.108738981881275e+18,1.9295927160769984e+18,5.204279073258523e+18,GJ 486 b
8102,26.004696254874776,-15.931604718523872,3.49,0.727,3.415562659003028e+17,9.928169078973578e+16,-7.379607364598566e+16,GJ 486 b
8198,26.34895405180304,9.158003969437589,4.26,0.942,2.4057227175922417e+18,1.1223773054131831e+18,3.459459289243999e+17,GJ 486 b
8497,27.39521907940048,-10.687060100096954,4.66,0.333,8.799788196423658e+17,3.8127443747919194e+17,-1.780222824411556e+17,GJ 486 b
8645,27.865411110423214,-10.3352993546938,3.74,1.136,2.375872423939848e+18,1.1787997224718769e+18,-4.8262025753450797e+17,GJ 486 b
8796,28.270544618366586,29.57722187261977,3.42,0.488,7.089089011209408e+17,3.0169545649323085e+17,2.5650743856862723e+17,GJ 486 b
8832,28.383138453224795,19.29317013578968,3.88,-0.047,1.8497526811711316e+18,9.192919111584227e+17,5.95899255333933e+17,GJ 486 b
8833,28.38912319974112,3.1877009251266406,4.61,0.928,1.8284080471362555e+18,9.079728131275159e+17,5.7382492440849016e+16,GJ 486 b
8837,28.41050394500296,-46.30329766390707,4.39,1.597,2.091577190342431e+18,1.0510941515215145e+18,-2.2409304286026803e+18,GJ 486 b
8886,28.59935224955399,63.66997314447979,3.35,-0.15,1.872544993677736e+18,9.395615500639186e+17,3.7045098223663334e+18,GJ 486 b
8903,28.66074689810932,20.807286676296933,2.64,0.165,7.066654478798294e+17,3.045635882188559e+17,1.573397306523623e+17,GJ 486 b
8928,28.73525540738888,-67.64679997534982,4.68,0.931,9.28480331522268e+17,4.269626303499952e+17,-1.9404102555079895e+18,GJ 486 b
9007,28.99701297381737,-51.60694034708662,3.69,0.844,5.373756504205741e+17,2.142720583573693e+17,-4.657900827245521e+17,GJ 486 b
9009,29.000369671983417,68.68517486700316,4.97,-0.084,2.353968829588981e+18,1.2212638682543683e+18,6.139139122004392e+18,GJ 486 b
9061,29.167954855923167,-22.52699255024503,4.92,1.434,3.2868900546676946e+18,1.7500511716178514e+18,-1.4881319955010074e+18,GJ 486 b
9095,29.293034606265536,-47.3852168347433,4.82,0.864,1.7353549862537085e+18,8.883403251857459e+17,-1.9012102680498204e+18,GJ 486 b
9153,29.48146806949714,23.595961575113765,4.79,0.29,1.2494246370535729e+18,6.200807467386529e+17,4.61452497298965e+17,GJ 486 b
