Star HIP,RA (degrees),Dec (degrees),Magnitude,Color,xx,yy,zz,pl_name
67459,207.36866849571257,15.798185266667785,4.05,1.52,-2.1569495535076908e+18,-8.302112695586975e+17,7.916868617088161e+17,AU Mic b
67464,207.37591497764643,-41.68784942939299,3.41,-0.225,-3.15147097441077e+18,-1.3455101350387062e+18,-2.827662705693165e+18,AU Mic b
67472,207.4038983369999,-42.47386398072898,3.47,-0.17,-3.43715720735451e+18,-1.4954657531292114e+18,-3.206580145214574e+18,AU Mic b
67480,207.4286270820055,21.264222479329867,4.92,1.432,-3.0536740357593436e+18,-1.2982317295037268e+18,1.422656070368729e+18,AU Mic b
67494,207.4671289310465,-18.134427213969325,4.96,1.059,-2.1030761862596874e+18,-8.065328669557576e+17,-5.5291282013898694e+17,AU Mic b
67627,207.8581049169076,64.72324047261917,4.58,1.572,-1.5713032289143432e+18,-5.422615797840189e+17,3.509245073029351e+18,AU Mic b
67665,207.94764183285187,34.44402154345032,4.76,1.611,-4.335767817480662e+18,-2.011712721376011e+18,3.391579308530911e+18,AU Mic b
67669,207.9563750793385,-32.99429682384871,4.32,-0.146,-2.258706705129939e+18,-9.101606811232156e+17,-1.3735958698450988e+18,AU Mic b
67786,208.30213618112288,-31.927686219566542,4.75,-0.111,-4.907668956115375e+18,-2.3527920852413276e+18,-3.19131410255487e+18,AU Mic b
67927,208.67071956079025,18.39525404827731,2.68,0.58,-4.6426351751820646e+17,3.752256314065613e+16,2.700087201788834e+17,AU Mic b
68002,208.88436122310725,-47.28868291494292,2.55,-0.176,-2.334063624876327e+18,-9.954109828331779e+17,-2.5141690635311503e+18,AU Mic b
68191,209.41138735704163,-63.68692166055299,4.71,1.075,-9.362048560739918e+17,-2.3345429712162854e+17,-1.6123708106333975e+18,AU Mic b
68245,209.56755568721496,-42.1008897668376,3.83,-0.224,-3.0136135969615514e+18,-1.4147771729106294e+18,-2.7916244631194726e+18,AU Mic b
68282,209.6695137399568,-44.80373331556247,3.87,-0.208,-2.6086837736255406e+18,-1.190783633284987e+18,-2.6246166146639104e+18,AU Mic b
68520,210.41175860254347,1.5443860418836066,4.23,0.121,-1.9534717523946143e+18,-8.483009683603881e+17,2.1523282968313437e+17,AU Mic b
68523,210.431268236991,-45.60356482414248,4.34,0.598,-2.7297894257142047e+18,-1.305148874689828e+18,-2.869001479223279e+18,AU Mic b
68702,210.95537949934547,-60.37321168605802,0.61,-0.231,-2.2794156657358723e+18,-1.0666451721266212e+18,-4.1597665554917453e+18,AU Mic b
68756,211.0963917778384,64.37596876479715,3.67,-0.049,-1.2549922591543e+18,-4.5582147721059526e+17,2.79426852914307e+18,AU Mic b
68862,211.51130637196783,-41.179781705807294,4.36,-0.198,-2.8814848245723356e+18,-1.4637129509516705e+18,-2.619793652217557e+18,AU Mic b
68895,211.59323583430032,-26.68332970662156,3.25,1.091,-9.029068682459222e+17,-2.5213918722365485e+17,-2.7116672139157126e+17,AU Mic b
68933,211.6661824248818,-36.37351637574749,2.06,1.011,-5.679999979495534e+17,-4.685147323961174e+16,-1.8235674773516966e+17,AU Mic b
69112,212.21122692066783,77.5477439505112,4.8,1.368,-1.036317658306184e+18,-3.4711433631680365e+17,4.780936978062558e+18,AU Mic b
